0.13	67.82	0.00	67.00
0.88	69.36	1.00	69.00
1.51	71.64	2.00	71.00
2.03	72.28	3.00	72.00
4.16	74.75	4.00	74.00
4.71	72.82	5.00	72.00
5.27	71.76	6.00	71.00
5.78	69.88	7.00	69.00
6.36	68.11	8.00	67.00
8.57	66.25	9.00	65.00
9.61	66.60	10.00	65.00
10.15	70.69	11.00	69.00
10.70	68.75	12.00	67.00
11.75	66.78	13.00	65.00
13.31	65.77	14.00	64.00
13.82	64.05	15.00	62.00
14.35	66.22	16.00	64.00
14.88	66.97	17.00	65.00
15.42	68.77	18.00	67.00
17.54	68.98	19.00	67.00
18.53	70.75	20.00	69.00
19.08	72.78	21.00	71.00
19.56	73.71	22.00	72.00
22.05	74.15	23.00	74.00
22.65	76.03	24.00	76.00
23.20	74.03	25.00	74.00
23.72	72.17	26.00	72.00
24.29	71.09	27.00	71.00
26.49	69.83	28.00	69.00
27.47	69.29	29.00	69.00
28.06	72.23	30.00	71.00
28.54	72.89	31.00	72.00
29.64	68.23	32.00	67.00
32.16	67.84	33.00	65.00
32.72	66.69	34.00	64.00
33.22	64.89	35.00	62.00
33.75	66.66	36.00	64.00
34.32	62.34	37.00	60.00
