1.20	60.34	0.00	60.00
1.76	68.72	1.00	69.00
2.33	66.83	2.00	67.00
2.90	64.91	3.00	65.00
3.45	60.35	4.00	60.00
5.50	60.41	5.00	60.00
6.04	69.11	6.00	69.00
6.58	66.92	7.00	67.00
7.08	64.97	8.00	65.00
7.63	62.17	9.00	62.00
9.53	62.07	10.00	62.00
10.15	70.41	11.00	70.00
10.64	68.86	12.00	69.00
11.17	67.25	13.00	67.00
11.68	64.19	14.00	64.00
13.58	72.94	15.00	72.00
14.08	72.94	16.00	72.00
14.63	70.95	17.00	70.00
15.11	66.95	18.00	67.00
15.61	68.95	19.00	69.00
17.49	61.72	20.00	60.00
17.97	69.01	21.00	69.00
18.50	66.81	22.00	67.00
19.98	64.77	23.00	65.00
19.47	60.17	24.00	60.00
21.36	60.37	25.00	60.00
21.86	68.98	26.00	69.00
22.40	67.11	27.00	67.00
22.88	64.81	28.00	65.00
23.39	62.04	29.00	62.00
25.22	62.10	30.00	62.00
25.80	70.36	31.00	70.00
26.27	68.75	32.00	69.00
26.76	66.86	33.00	67.00
27.26	71.93	34.00	72.00
27.73	72.14	35.00	72.00
28.22	72.16	36.00	72.00
29.20	74.12	37.00	74.00
29.65	72.11	38.00	72.00
30.14	70.05	39.00	70.00
30.61	47.03	40.00	67.00
33.58	66.03	41.00	65.00
