0.88	67.67
1.66	60.86
2.03	62.78
2.39	64.40
2.77	65.73
3.20	67.61
4.61	60.05
5.35	69.32
6.29	65.07
6.68	67.70
7.04	70.04
7.40	71.94
7.79	72.34
9.16	59.97
9.95	65.68
10.72	67.54
11.06	65.58
11.46	64.37
11.84	62.45
12.24	64.43
13.01	65.67
13.37	64.42
13.80	62.02
14.18	60.08
14.66	59.17
15.45	60.19
15.84	62.37
16.24	64.40
16.63	60.13
17.06	64.23
17.50	67.57
17.88	59.91
18.27	61.99
18.66	64.28
19.05	65.13
19.55	67.59
20.38	60.19
20.75	62.33
21.14	64.87
21.52	65.29
21.98	67.58
23.55	59.14
24.42	69.92
25.25	65.15
25.66	67.71
26.05	69.93
26.42	72.15
26.84	72.83
28.27	60.22
29.04	65.73
29.74	67.66
30.10	65.25
30.50	64.43
30.91	62.39
31.28	64.39
32.07	65.26
32.43	64.36
32.84	62.03
33.25	59.98
33.69	62.12
34.45	64.16
35.00	62.16
35.45	60.23
35.87	59.34
36.32	60.18
