0.06	67.01
0.98	59.28
1.40	61.74
1.90	63.69
2.35	64.90
2.84	66.85
4.69	59.12
5.58	68.70
6.54	64.10
6.95	66.32
7.40	68.77
7.83	70.74
8.30	71.77
10.02	60.05
11.06	65.15
11.92	67.14
12.35	65.16
12.77	64.28
13.18	62.35
13.66	64.26
14.56	65.14
14.98	64.43
15.44	61.93
15.85	60.27
16.44	59.31
17.35	60.02
17.80	61.76
18.23	63.84
18.66	59.29
19.14	61.92
19.57	66.09
20.07	58.95
20.54	60.93
20.97	62.83
21.43	63.68
21.90	66.17
22.83	59.23
23.25	61.62
23.70	63.20
24.13	64.37
24.56	66.31
26.38	59.03
27.30	68.22
28.24	63.84
28.65	66.03
29.07	68.18
29.52	70.00
30.06	71.04
31.71	59.14
32.68	65.15
33.49	67.15
33.91	65.06
34.35	63.92
34.75	61.84
35.20	64.00
36.03	64.84
36.42	64.04
36.85	61.66
37.24	59.84
37.74	61.68
38.59	64.16
39.04	61.77
39.49	59.27
39.96	58.76
40.39	59.40
