2.39	60.18	0.00	60.00
3.04	60.23	1.00	60.00
3.43	62.76	2.00	62.00
3.96	65.76	3.00	65.00
4.73	61.09	4.00	62.00
5.16	60.36	5.00	60.00
5.60	60.32	6.00	60.00
9.16	60.25	7.00	60.00
10.05	60.49	8.00	60.00
10.45	63.01	9.00	62.00
10.96	65.85	10.00	65.00
11.83	61.68	11.00	62.00
12.30	60.22	12.00	60.00
12.75	60.21	13.00	60.00
16.36	60.28	14.00	60.00
17.76	63.13	15.00	62.00
18.17	65.95	16.00	65.00
19.85	66.92	17.00	65.00
20.85	63.03	18.00	62.00
21.23	65.86	19.00	65.00
21.74	67.71	20.00	67.00
23.51	67.21	21.00	67.00
24.89	62.07	22.00	62.00
25.41	66.24	23.00	65.00
26.24	62.08	24.00	62.00
26.60	60.37	25.00	60.00
27.07	60.16	26.00	60.00
