1.64	67.62
2.59	60.90
3.03	62.88
3.47	64.46
3.91	65.58
4.41	67.60
6.16	60.94
7.04	69.33
7.96	65.57
8.41	67.77
8.90	69.27
9.30	71.77
9.79	72.28
11.46	60.90
12.40	65.80
13.24	68.09
13.71	65.85
14.11	65.01
14.51	63.00
14.93	64.77
15.75	65.87
16.18	64.29
16.54	62.30
16.96	61.08
17.48	60.05
18.30	61.09
18.70	62.95
19.12	65.01
19.50	61.03
20.34	62.45
20.84	67.71
21.33	60.11
21.75	62.96
22.18	64.93
22.59	65.91
23.07	67.78
23.88	60.49
24.32	62.85
24.76	64.88
25.21	65.28
25.61	67.80
27.23	60.43
28.24	69.91
29.05	65.73
29.50	68.11
29.90	69.79
30.33	71.89
30.78	73.03
32.42	60.92
33.24	65.87
34.11	67.90
34.50	65.79
34.95	65.11
35.35	63.32
35.75	65.10
36.58	66.20
37.01	65.08
37.40	62.91
37.80	61.17
38.28	63.11
39.10	65.08
39.51	62.40
39.92	61.07
40.33	59.87
40.75	61.06
