1.50	64.29	0.00	64.00
2.58	67.83	1.00	67.00
3.17	60.34	2.00	60.00
4.78	62.37	3.00	62.00
5.60	64.89	4.00	64.00
6.51	55.95	5.00	55.00
8.42	60.35	6.00	60.00
9.18	62.42	7.00	62.00
10.00	64.15	8.00	64.00
10.93	66.92	9.00	67.00
12.11	62.31	10.00	62.00
16.24	64.33	11.00	64.00
17.33	67.78	12.00	67.00
18.25	60.44	13.00	60.00
20.00	63.06	14.00	62.00
20.97	65.27	15.00	64.00
21.89	58.10	16.00	57.00
24.08	63.69	17.00	62.00
25.03	56.91	18.00	55.00
26.03	63.73	19.00	62.00
26.95	65.89	20.00	64.00
28.01	61.53	21.00	60.00
32.20	69.96	22.00	69.00
34.18	67.10	23.00	67.00
35.94	69.36	24.00	69.00
38.01	60.86	25.00	60.00
40.15	64.87	26.00	64.00
41.19	69.37	27.00	69.00
42.06	64.85	28.00	64.00
43.13	67.63	29.00	67.00
44.10	62.35	30.00	62.00
48.04	64.29	31.00	64.00
49.07	67.10	32.00	67.00
49.99	60.23	33.00	60.00
51.77	63.00	34.00	62.00
52.81	65.02	35.00	64.00
53.75	57.35	36.00	57.00
56.06	63.11	37.00	62.00
57.04	55.88	38.00	55.00
58.19	63.10	39.00	62.00
59.15	65.04	40.00	64.00
60.39	60.35	41.00	60.00
