0.53	66.88
0.91	64.33
1.29	65.78
1.71	67.63
2.08	69.09
2.51	67.77
2.95	65.77
3.38	62.84
3.78	64.45
4.19	65.79
5.00	67.66
5.25	66.11
5.49	64.35
5.91	60.49
6.40	62.37
6.80	64.24
7.83	66.20
8.29	67.17
8.77	65.65
9.20	64.29
9.62	64.25
10.09	62.38
11.18	60.99
11.61	67.84
12.03	66.01
12.43	64.22
13.56	62.13
14.00	60.11
14.41	67.05
14.84	65.19
15.26	63.74
16.31	62.08
16.79	60.14
17.16	60.49
17.37	62.14
17.50	63.74
17.80	65.28
18.08	67.82
18.46	68.83
18.72	65.95
18.92	63.98
19.37	64.35
19.75	61.53
20.14	61.10
20.39	59.87
20.63	60.03
