0.50	64.87
1.32	64.79
2.16	64.85
3.44	67.23
3.89	65.25
4.28	62.80
4.76	65.28
5.20	69.23
5.65	67.09
6.21	64.31
6.51	67.15
7.44	73.17
7.89	72.94
8.82	72.24
9.20	69.93
9.67	69.87
10.58	67.75
11.02	67.69
11.42	65.95
11.87	65.69
12.32	65.05
12.78	67.78
13.37	65.61
13.71	63.03
14.65	65.17
15.48	65.14
16.36	65.19
17.62	67.99
18.04	65.98
18.43	63.02
18.91	65.94
19.34	69.47
19.80	67.64
20.33	65.03
20.63	67.83
21.51	73.09
21.90	67.90
22.33	67.87
22.70	64.99
23.15	63.07
23.64	69.94
24.06	67.89
24.25	65.19
24.46	65.00
24.62	63.15
24.90	61.60
25.80	65.66
25.98	63.90
26.19	61.80
26.42	63.10
26.62	61.69
