1.78	59.40
2.86	58.77
3.75	56.18
4.75	54.26
6.63	51.66
7.60	47.05
8.13	49.17
8.61	51.67
10.51	59.02
11.53	58.23
12.45	55.25
13.36	53.24
15.14	50.42
15.62	46.28
16.14	46.28
16.63	49.17
17.09	47.79
19.03	47.82
19.53	51.65
20.03	53.85
21.87	48.49
22.35	51.68
22.83	51.68
24.69	47.05
25.18	51.06
25.65	53.88
27.40	46.28
27.84	49.17
28.32	47.04
30.22	58.77
31.16	58.27
32.03	55.79
32.88	53.26
34.56	50.45
35.46	46.28
35.93	49.17
36.40	50.34
38.20	59.05
39.09	58.23
39.93	55.20
40.77	53.15
42.54	47.98
43.53	45.47
43.90	48.49
44.35	47.04
