1.11	53.11
2.37	57.95
4.12	60.17
4.63	58.13
5.78	52.15
6.03	56.72
6.26	58.13
8.28	46.28
8.77	46.27
9.33	48.30
9.56	51.69
9.91	52.93
10.44	57.24
10.98	56.11
11.54	52.77
12.59	49.17
12.79	50.24
13.07	52.93
15.10	53.17
15.63	56.16
16.09	58.20
16.40	60.43
16.64	57.32
17.81	56.03
18.27	57.92
19.39	46.20
19.97	51.06
21.79	49.17
22.34	51.04
22.86	53.22
23.36	58.24
23.93	53.17
24.46	55.83
24.97	51.06
26.05	49.17
26.25	75.01
26.54	46.27
28.40	52.97
28.98	56.84
29.57	52.77
30.09	50.43
31.21	49.17
31.49	51.06
31.75	53.18
32.97	57.17
33.22	60.28
35.05	58.21
35.63	52.77
36.17	55.74
36.66	51.06
37.74	51.06
37.98	46.28
38.24	47.91
38.39	49.03
38.59	46.26
