2.02	60.18	0.00	60.00
2.73	60.44	1.00	60.00
3.23	63.03	2.00	62.00
3.70	65.28	3.00	65.00
4.56	62.94	4.00	62.00
4.99	60.94	5.00	60.00
5.43	60.89	6.00	60.00
8.90	60.83	7.00	60.00
9.74	60.85	8.00	60.00
10.20	62.94	9.00	62.00
10.68	65.70	10.00	65.00
11.56	62.36	11.00	62.00
11.97	60.87	12.00	60.00
12.39	60.90	13.00	60.00
15.78	60.88	14.00	60.00
17.07	63.01	15.00	62.00
17.55	65.77	16.00	65.00
19.19	65.66	17.00	65.00
20.01	62.28	18.00	62.00
20.41	65.30	19.00	65.00
20.87	67.81	20.00	67.00
22.54	67.27	21.00	67.00
23.78	62.07	22.00	62.00
24.20	65.79	23.00	65.00
24.99	62.42	24.00	62.00
25.39	60.86	25.00	60.00
25.80	60.94	26.00	60.00
