0.75	64.41	0.00	64.00
1.63	64.45	1.00	64.00
2.50	64.36	2.00	64.00
3.81	67.18	3.00	67.00
4.28	65.27	4.00	65.00
4.75	62.93	5.00	62.00
5.17	65.06	6.00	65.00
5.62	69.28	7.00	69.00
6.13	67.25	8.00	67.00
6.98	67.72	9.00	64.00
7.90	73.05	10.00	67.00
8.40	72.96	11.00	72.00
9.34	71.84	12.00	72.00
9.76	70.10	13.00	71.00
10.05	69.89	14.00	69.00
11.16	67.08	15.00	69.00
11.67	67.09	16.00	67.00
12.09	65.22	17.00	67.00
12.53	65.02	18.00	65.00
12.92	64.99	19.00	65.00
13.40	67.23	20.00	64.00
13.88	64.31	21.00	67.00
14.24	62.26	22.00	64.00
15.20	65.05	23.00	62.00
16.06	64.99	24.00	64.00
16.93	64.94	25.00	64.00
18.25	67.87	26.00	64.00
18.68	65.01	27.00	67.00
19.66	66.10	28.00	65.00
20.12	69.12	29.00	62.00
20.58	67.84	30.00	65.00
21.15	65.04	31.00	69.00
21.45	67.89	32.00	67.00
22.34	73.16	33.00	64.00
22.74	68.14	34.00	67.00
23.18	67.94	35.00	72.00
23.64	64.87	36.00	67.00
24.12	63.72	37.00	67.00
24.52	69.87	38.00	64.00
24.99	67.23	39.00	62.00
25.19	65.22	40.00	69.00
25.40	64.89	41.00	67.00
25.60	62.92	42.00	65.00
25.87	60.92	43.00	64.00
26.74	63.25	44.00	62.00
26.94	61.98	45.00	60.00
27.55	65.02	46.00	64.00
27.80	63.14	47.00	62.00
28.05	60.04	48.00	60.00
28.16	61.74	49.00	62.00
28.52	60.96	50.00	60.00
