1.14	62.17	0.00	62.00
1.52	64.13	1.00	64.00
2.39	62.00	2.00	62.00
3.59	67.03	3.00	67.00
3.94	69.13	4.00	69.00
4.39	71.20	5.00	71.00
4.78	71.02	6.00	72.00
5.45	63.08	7.00	64.00
6.48	66.69	8.00	66.00
6.91	68.09	9.00	67.00
7.35	66.19	10.00	66.00
8.44	61.84	11.00	62.00
9.58	67.89	12.00	67.00
10.12	69.95	13.00	69.00
10.82	71.74	14.00	71.00
12.56	62.85	15.00	62.00
12.95	64.38	16.00	64.00
13.40	62.35	17.00	64.00
14.69	67.68	18.00	62.00
15.03	69.36	19.00	67.00
15.52	71.14	20.00	69.00
16.02	72.71	21.00	72.00
16.76	66.75	22.00	66.00
17.81	75.04	23.00	76.00
18.12	73.56	24.00	74.00
18.61	72.17	25.00	72.00
19.06	64.18	26.00	66.00
19.80	70.06	27.00	69.00
20.35	72.25	28.00	71.00
20.71	67.92	29.00	67.00
